NAME,CITY,STABBR,BASIC2015,S&ER&D,NONS&ER&D,PDNFRSTAFF,FACNUM,HUM_RSD,SOCSC_RSD,STEM_RSD,OTHER_RSD,DRSPROF
Texas Christian University,Fort Worth,TX,16,5132,2740,21,496,9,6,4,4,4
Texas Southern University,Houston,TX,17,2855,3183,9,296,0,0,6,31,31
Texas State University,San Marcos,TX,16,25910,13355,23,733,0,12,8,31,31
Texas Tech University,Lubbock,TX,15,125126,34182,271,1052,57,15,111,130,130
Texas Woman's University,Denton,TX,17,1970,680,0,403,6,3,3,79,79
The New School,New York,NY,16,3843,3317,0,387,13,42,0,23,23
The University of Alabama,Tuscaloosa,AL,16,47920,5220,70,977,32,17,65,96,96
The University of Montana,Missoula,MT,16,54808,224,38,476,0,12,20,19,19
The University of Tennessee-Knoxville,Knoxville,TN,15,305483,8570,360,1788,32,34,190,202,202
The University of Texas - Rio Grande Valley,Edinburg,TX,17,10225,1514,0,465,0,0,0,20,20
The University of Texas at Arlington,Arlington,TX,15,74261,14914,57,567,8,6,136,64,64
The University of Texas at Austin,Austin,TX,15,526173,59078,532,1898,142,104,441,205,205
The University of Texas at Dallas,Richardson,TX,15,94961,4766,137,506,17,14,110,32,32
The University of Texas at El Paso,El Paso,TX,16,70475,9062,63,485,10,7,51,50,50
The University of Texas at San Antonio,San Antonio,TX,16,42318,4743,57,596,5,15,49,37,37
The University of West Florida,Pensacola,FL,17,5080,14499,0,239,0,0,0,23,23
Tufts University,Medford,MA,15,156411,4414,230,686,11,13,97,7,7
Tulane University of Louisiana,New Orleans,LA,15,148784,9041,171,658,20,10,58,25,25
Universidad Del Turabo,Gurabo,PR,17,2319,375,0,122,0,0,2,21,21
University at Buffalo,Buffalo,NY,15,370083,16479,298,1481,67,32,164,97,97
University of Akron Main Campus,Akron,OH,16,64270,5258,51,633,2,13,81,19,19
University of Alabama at Birmingham,Birmingham,AL,15,421475,7088,502,2025,0,19,110,37,37
University of Alabama in Huntsville,Huntsville,AL,16,85994,3331,87,260,0,0,29,1,1
University of Alaska Fairbanks,Fairbanks,AK,16,152352,3417,50,374,1,4,34,5,6
University of Arizona,Tucson,AZ,15,575864,12224,570,1599,81,58,214,107,107
University of Arkansas,Fayetteville,AR,15,111703,14121,89,784,8,9,53,80,80
University of Arkansas at Little Rock,Little Rock,AR,17,7055,1013,12,385,0,0,40,16,16
University of California-Berkeley,Berkeley,CA,15,708485,35858,1520,1456,124,108,589,116,116
University of California-Davis,Davis,CA,15,699689,12032,1156,1964,58,46,331,69,69
University of California-Irvine,Irvine,CA,15,322315,17741,471,1393,47,57,271,39,39
University of California-Los Angeles,Los Angeles,CA,15,920183,28014,2212,2705,124,112,442,117,117
University of California-Merced,Merced,CA,16,22612,1304,0,166,6,2,33,0,0
University of California-Riverside,Riverside,CA,15,128506,5052,159,648,32,44,177,11,11
University of California-San Diego,La Jolla,CA,15,1060207,7181,1491,1882,50,46,352,39,39
University of California-Santa Barbara,Santa Barbara,CA,15,221122,5571,594,768,88,70,176,26,26
University of California-Santa Cruz,Santa Cruz,CA,15,147536,4198,344,507,27,35,110,7,7
University of Central Florida,Orlando,FL,15,143063,42492,74,801,2,23,142,99,99
University of Chicago,Chicago,IL,15,378322,11760,802,1702,108,81,151,60,60
University of Cincinnati-Main Campus,Cincinnati,OH,15,399571,23302,648,1565,23,20,152,70,70
University of Colorado Boulder,Boulder,CO,15,362882,16593,618,1091,54,50,275,15,15
University of Colorado Denver,Denver,CO,16,401230,9790,0,2092,0,4,77,39,39
University of Connecticut,Storrs,CT,15,247379,10677,282,1789,21,61,172,63,63
University of Dayton,Dayton,OH,16,83409,3472,13,399,0,0,15,12,12
University of Delaware,Newark,DE,15,169641,5922,141,1014,18,26,136,32,32
University of Denver,Denver,CO,16,11216,6967,22,501,28,21,36,74,74
University of Florida,Gainesville,FL,15,652341,56185,677,2095,69,78,450,199,199
University of Georgia,Athens,GA,15,313445,42026,245,1698,61,67,136,199,199
University of Hartford,West Hartford,CT,17,1305,301,0,333,10,0,0,12,12
University of Hawaii at Manoa,Honolulu,HI,15,319818,4524,303,1143,36,41,72,45,45
University of Houston,Houston,TX,15,122163,18434,370,920,31,29,132,83,83
University of Idaho,Moscow,ID,16,92512,3082,66,451,0,1,56,30,30
University of Illinois at Chicago,Chicago,IL,15,339644,8244,404,1561,27,31,157,113,113
University of Illinois at Urbana-Champaign,Champaign,IL,15,598531,23202,753,1847,124,71,453,156,156
University of Iowa,Iowa City,IA,15,436852,12295,481,2018,74,31,165,219,219
University of Kansas,Lawrence,KS,15,251186,50348,445,1878,78,49,99,102,102
University of Kentucky,Lexington,KY,15,322313,5926,526,1457,50,35,137,106,106
University of Louisiana at Lafayette,Lafayette,LA,16,59068,8512,40,414,17,0,20,14,14
University of Louisiana at Monroe,Monroe,LA,17,2267,0,0,249,0,0,0,26,26
University of Louisville,Louisville,KY,15,163199,20177,177,1632,13,8,83,44,44
University of Maine,Orono,ME,16,100493,754,15,422,3,9,41,23,23
University of Maryland Eastern Shore,Princess Anne,MD,17,8982,0,3,163,0,0,3,8,14
University of Maryland-Baltimore County,Baltimore,MD,16,64329,3504,103,404,0,8,69,25,25
University of Maryland-College Park,College Park,MD,15,472235,12816,379,1413,91,66,322,141,141
University of Massachusetts-Amherst,Amherst,MA,15,183210,16989,195,1042,38,33,141,75,75
University of Massachusetts-Boston,Boston,MA,16,30021,31165,0,462,0,5,17,39,39
University of Massachusetts-Dartmouth,North Dartmouth,MA,16,25879,2340,32,302,1,0,19,2,2
University of Massachusetts-Lowell,Lowell,MA,16,52595,11996,44,423,0,0,49,11,11
University of Memphis,Memphis,TN,16,44351,11215,43,737,28,13,30,59,59
University of Miami,Coral Gables,FL,15,342852,2953,474,1200,39,22,90,22,22
University of Michigan-Ann Arbor,Ann Arbor,MI,15,1279603,69659,1813,3707,123,86,550,124,124
University of Minnesota-Twin Cities,Minneapolis,MN,15,850880,25990,1082,2909,72,111,383,212,212
University of Mississippi,University,MS,15,97286,12636,68,629,10,15,40,49,49
University of Missouri-Columbia,Columbia,MO,15,233613,3653,267,1672,36,29,115,210,210
University of Missouri-Kansas City,Kansas City,MO,16,26452,2712,32,652,27,10,0,53,68
University of Missouri-St Louis,Saint Louis,MO,16,14632,3986,8,433,0,21,15,28,28
University of Nebraska at Omaha,Omaha,NE,17,7640,1582,19,411,0,6,3,20,20
University of Nebraska-Lincoln,Lincoln,NE,15,254879,23420,208,1038,52,38,117,108,108
University of Nevada-Las Vegas,Las Vegas,NV,16,38229,1219,49,792,9,23,25,67,67
University of Nevada-Reno,Reno,NV,16,81028,6296,80,712,8,25,54,31,31
University of New Hampshire-Main Campus,Durham,NH,16,130951,16593,63,587,4,11,50,10,10
University of New Mexico-Main Campus,Albuquerque,NM,15,221817,7032,83,1539,38,34,96,63,63
University of New Orleans,New Orleans,LA,16,17182,3432,10,232,0,10,23,24,24
